Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114335912,First,HOOK_START,,20260615114335912
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114335912,First,HOOK_END,,20260615114336045
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114338074,Fries,HOOK_START,,20260615114338074
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114338074,Fries,HOOK_END,,20260615114338290
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114340376,Medium Coke,HOOK_START,,20260615114340376
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114340376,Medium Coke,HOOK_END,,20260615114340607
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114342681,Take Out Total,HOOK_START,,20260615114342681
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114342681,Take Out Total,HOOK_END,,20260615114343044
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114344982,Exact Cash,HOOK_START,,20260615114344982
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114344982,Exact Cash,HOOK_END,,20260615114345820
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114347289,First,HOOK_START,,20260615114347289
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114347289,First,HOOK_END,,20260615114347403
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114349587,Fries,HOOK_START,,20260615114349587
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114349587,Fries,HOOK_END,,20260615114349798
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114351888,Medium Coke,HOOK_START,,20260615114351888
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114351888,Medium Coke,HOOK_END,,20260615114352097
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114354190,Take Out Total,HOOK_START,,20260615114354190
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114354190,Take Out Total,HOOK_END,,20260615114354554
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114356492,Exact Cash,HOOK_START,,20260615114356492
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114356492,Exact Cash,HOOK_END,,20260615114357325
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114358796,First,HOOK_START,,20260615114358796
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114358796,First,HOOK_END,,20260615114358913
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114401096,Fries,HOOK_START,,20260615114401096
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114401096,Fries,HOOK_END,,20260615114401323
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114403396,Medium Coke,HOOK_START,,20260615114403396
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114403396,Medium Coke,HOOK_END,,20260615114403620
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114405700,Take Out Total,HOOK_START,,20260615114405700
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114405700,Take Out Total,HOOK_END,,20260615114406075
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114408028,Exact Cash,HOOK_START,,20260615114408028
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114408028,Exact Cash,HOOK_END,,20260615114408865
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114410306,First,HOOK_START,,20260615114410306
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114410306,First,HOOK_END,,20260615114410436
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114412608,Fries,HOOK_START,,20260615114412608
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114412608,Fries,HOOK_END,,20260615114412829
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114414912,Medium Coke,HOOK_START,,20260615114414912
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114414912,Medium Coke,HOOK_END,,20260615114415128
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114417209,Take Out Total,HOOK_START,,20260615114417209
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114417209,Take Out Total,HOOK_END,,20260615114417579
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114419515,Exact Cash,HOOK_START,,20260615114419515
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114419515,Exact Cash,HOOK_END,,20260615114420336
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114421817,First,HOOK_START,,20260615114421817
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114421817,First,HOOK_END,,20260615114421939
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114424115,Fries,HOOK_START,,20260615114424115
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114424115,Fries,HOOK_END,,20260615114424335
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114426419,Medium Coke,HOOK_START,,20260615114426419
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114426419,Medium Coke,HOOK_END,,20260615114426633
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114428719,Take Out Total,HOOK_START,,20260615114428719
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114428719,Take Out Total,HOOK_END,,20260615114429101
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114431021,Exact Cash,HOOK_START,,20260615114431021
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114431021,Exact Cash,HOOK_END,,20260615114431835
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114433326,First,HOOK_START,,20260615114433326
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114433326,First,HOOK_END,,20260615114433445
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114435627,Fries,HOOK_START,,20260615114435627
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114435627,Fries,HOOK_END,,20260615114435858
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114437930,Medium Coke,HOOK_START,,20260615114437930
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114437930,Medium Coke,HOOK_END,,20260615114438139
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114440231,Take Out Total,HOOK_START,,20260615114440231
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114440231,Take Out Total,HOOK_END,,20260615114440595
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114442534,Exact Cash,HOOK_START,,20260615114442534
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114442534,Exact Cash,HOOK_END,,20260615114443351
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615114444839,First,HOOK_START,,20260615114444839
