Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114338962,First,HOOK_START,,20260615114338962
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114338962,First,HOOK_END,,20260615114339034
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114341124,New order,HOOK_START,,20260615114341124
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114341124,New order,HOOK_END,,20260615114341261
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114343426,Fries,HOOK_START,,20260615114343426
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114343426,Fries,HOOK_END,,20260615114343652
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114345729,Medium Coke,HOOK_START,,20260615114345729
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114345729,Medium Coke,HOOK_END,,20260615114345953
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114348032,Take Out Total,HOOK_START,,20260615114348032
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114348032,Take Out Total,HOOK_END,,20260615114348436
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114350334,Exact Cash,HOOK_START,,20260615114350334
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114350334,Exact Cash,HOOK_END,,20260615114351190
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114352636,First,HOOK_START,,20260615114352636
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114352636,First,HOOK_END,,20260615114352660
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114354938,New order,HOOK_START,,20260615114354938
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114354938,New order,HOOK_END,,20260615114355077
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114357241,Fries,HOOK_START,,20260615114357241
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114357241,Fries,HOOK_END,,20260615114357480
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114359541,Medium Coke,HOOK_START,,20260615114359541
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615114359541,Medium Coke,HOOK_END,,20260615114359753
