Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131701451,First,HOOK_START,,20260615131701451
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131701451,First,HOOK_END,,20260615131702501
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131704611,Fries,HOOK_START,,20260615131704611
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131704611,Fries,HOOK_END,,20260615131705005
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131706913,Medium Coke,HOOK_START,,20260615131706913
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131706913,Medium Coke,HOOK_END,,20260615131707300
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131709227,Take Out Total,HOOK_START,,20260615131709227
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131709227,Take Out Total,HOOK_END,,20260615131709229
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131710515,Store,HOOK_START,,20260615131710515
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131710515,Store,HOOK_END,,20260615131711086
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131712821,Recall,HOOK_START,,20260615131712821
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131712821,Recall,HOOK_END,,20260615131713166
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131715122,Image Recall,HOOK_START,,20260615131715122
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131715122,Image Recall,HOOK_END,,20260615131715157
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131719726,Exact Cash,HOOK_START,,20260615131719726
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131719726,Exact Cash,HOOK_END,,20260615131721188
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131743353,First,HOOK_START,,20260615131743353
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131743353,First,HOOK_END,,20260615131743901
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131745646,Fries,HOOK_START,,20260615131745646
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131745646,Fries,HOOK_END,,20260615131746002
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131747947,Medium Coke,HOOK_START,,20260615131747947
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131747947,Medium Coke,HOOK_END,,20260615131748271
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131750250,Take Out Total,HOOK_START,,20260615131750250
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131750250,Take Out Total,HOOK_END,,20260615131750970
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131752552,Store,HOOK_START,,20260615131752552
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131752552,Store,HOOK_END,,20260615131753033
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131754854,Recall,HOOK_START,,20260615131754854
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131754854,Recall,HOOK_END,,20260615131755224
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131757156,Image Recall,HOOK_START,,20260615131757156
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131757156,Image Recall,HOOK_END,,20260615131757183
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131801761,Exact Cash,HOOK_START,,20260615131801761
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131801761,Exact Cash,HOOK_END,,20260615131802906
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131825378,First,HOOK_START,,20260615131825378
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131825378,First,HOOK_END,,20260615131825672
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131827682,Fries,HOOK_START,,20260615131827682
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131827682,Fries,HOOK_END,,20260615131828058
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131829982,Medium Coke,HOOK_START,,20260615131829982
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131829982,Medium Coke,HOOK_END,,20260615131830378
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131832284,Take Out Total,HOOK_START,,20260615131832284
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131832284,Take Out Total,HOOK_END,,20260615131833011
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131834584,Store,HOOK_START,,20260615131834584
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131834584,Store,HOOK_END,,20260615131835024
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131836885,Recall,HOOK_START,,20260615131836885
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131836885,Recall,HOOK_END,,20260615131837166
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131839187,Image Recall,HOOK_START,,20260615131839187
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131839187,Image Recall,HOOK_END,,20260615131839214
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131843792,Exact Cash,HOOK_START,,20260615131843792
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131843792,Exact Cash,HOOK_END,,20260615131844921
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131907412,First,HOOK_START,,20260615131907412
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131907412,First,HOOK_END,,20260615131907698
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131909714,Fries,HOOK_START,,20260615131909714
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131909714,Fries,HOOK_END,,20260615131910032
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131912015,Medium Coke,HOOK_START,,20260615131912015
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131912015,Medium Coke,HOOK_END,,20260615131912409
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131914318,Take Out Total,HOOK_START,,20260615131914318
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131914318,Take Out Total,HOOK_END,,20260615131914320
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131915621,Store,HOOK_START,,20260615131915621
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131915621,Store,HOOK_END,,20260615131916092
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131917921,Recall,HOOK_START,,20260615131917921
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131917921,Recall,HOOK_END,,20260615131918241
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131920223,Image Recall,HOOK_START,,20260615131920223
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131920223,Image Recall,HOOK_END,,20260615131920284
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131924827,Exact Cash,HOOK_START,,20260615131924827
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131924827,Exact Cash,HOOK_END,,20260615131926005
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131948441,First,HOOK_START,,20260615131948441
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131948441,First,HOOK_END,,20260615131948750
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131950744,Fries,HOOK_START,,20260615131950744
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131950744,Fries,HOOK_END,,20260615131951093
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131953044,Medium Coke,HOOK_START,,20260615131953044
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131953044,Medium Coke,HOOK_END,,20260615131953354
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131955350,Take Out Total,HOOK_START,,20260615131955350
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131955350,Take Out Total,HOOK_END,,20260615131956468
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131958650,Store,HOOK_START,,20260615131958650
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615131958650,Store,HOOK_END,,20260615131959296
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615132000953,Recall,HOOK_START,,20260615132000953
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615132000953,Recall,HOOK_END,,20260615132001294
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615132003254,Image Recall,HOOK_START,,20260615132003254
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615132003254,Image Recall,HOOK_END,,20260615132003288
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615132007858,Exact Cash,HOOK_START,,20260615132007858
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615132007858,Exact Cash,HOOK_END,,20260615132009265
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615132031476,First,HOOK_START,,20260615132031476
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615132031476,First,HOOK_END,,20260615132031798
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615132033889,Fries,HOOK_START,,20260615132033889
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615132033889,Fries,HOOK_END,,20260615132034468
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260615132036080,Medium Coke,HOOK_START,,20260615132036080
