Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010331264,First,HOOK_START,,20260423010331264
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010331264,First,HOOK_END,,20260423010332341
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010334936,Fries,HOOK_START,,20260423010334936
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010334936,Fries,HOOK_END,,20260423010335235
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010336997,Medium Coke,HOOK_START,,20260423010336997
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010336997,Medium Coke,HOOK_END,,20260423010337290
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010339002,Take Out Total,HOOK_START,,20260423010339002
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010339002,Take Out Total,HOOK_END,,20260423010340102
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010342886,Exact Cash,HOOK_START,,20260423010342886
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010342886,Exact Cash,HOOK_END,,20260423010344448
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010409539,First,HOOK_START,,20260423010409539
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010409539,First,HOOK_END,,20260423010409901
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010410979,Fries,HOOK_START,,20260423010410979
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010410979,Fries,HOOK_END,,20260423010411296
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010413093,Medium Coke,HOOK_START,,20260423010413093
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010413093,Medium Coke,HOOK_END,,20260423010413383
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010415111,Take Out Total,HOOK_START,,20260423010415111
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010415111,Take Out Total,HOOK_END,,20260423010416178
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260423010419001,Exact Cash,HOOK_START,,20260423010419001
