Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010341763,First,HOOK_START,,20260423010341763
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010341763,First,HOOK_END,,20260423010343080
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010344373,Fries,HOOK_START,,20260423010344373
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010344373,Fries,HOOK_END,,20260423010344822
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010346625,Medium Coke,HOOK_START,,20260423010346625
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010346625,Medium Coke,HOOK_END,,20260423010346944
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010348907,Take Out Total,HOOK_START,,20260423010348907
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010348907,Take Out Total,HOOK_END,,20260423010349837
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010351217,Store,HOOK_START,,20260423010351217
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010351217,Store,HOOK_END,,20260423010351741
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010353502,Recall,HOOK_START,,20260423010353502
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010353502,Recall,HOOK_END,,20260423010353915
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010355753,Image Recall,HOOK_START,,20260423010355753
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010355753,Image Recall,HOOK_END,,20260423010355795
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010402224,Exact Cash,HOOK_START,,20260423010402224
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010402224,Exact Cash,HOOK_END,,20260423010403915
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010428937,First,HOOK_START,,20260423010428937
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010428937,First,HOOK_END,,20260423010429382
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010430746,Fries,HOOK_START,,20260423010430746
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010430746,Fries,HOOK_END,,20260423010431135
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010432980,Medium Coke,HOOK_START,,20260423010432980
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010432980,Medium Coke,HOOK_END,,20260423010433301
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010435218,Take Out Total,HOOK_START,,20260423010435218
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010435218,Take Out Total,HOOK_END,,20260423010436058
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010438230,Store,HOOK_START,,20260423010438230
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010438230,Store,HOOK_END,,20260423010438915
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010441925,Recall,HOOK_START,,20260423010441925
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010441925,Recall,HOOK_END,,20260423010442303
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010444126,Image Recall,HOOK_START,,20260423010444126
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010444126,Image Recall,HOOK_END,,20260423010444166
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010450515,Exact Cash,HOOK_START,,20260423010450515
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010450515,Exact Cash,HOOK_END,,20260423010451946
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010515048,First,HOOK_START,,20260423010515048
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010515048,First,HOOK_END,,20260423010515511
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010516877,Fries,HOOK_START,,20260423010516877
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010516877,Fries,HOOK_END,,20260423010517194
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010519155,Medium Coke,HOOK_START,,20260423010519155
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010519155,Medium Coke,HOOK_END,,20260423010519553
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010521398,Take Out Total,HOOK_START,,20260423010521398
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010521398,Take Out Total,HOOK_END,,20260423010522195
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010523615,Store,HOOK_START,,20260423010523615
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010523615,Store,HOOK_END,,20260423010524150
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010525842,Recall,HOOK_START,,20260423010525842
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010525842,Recall,HOOK_END,,20260423010526226
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010528052,Image Recall,HOOK_START,,20260423010528052
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010528052,Image Recall,HOOK_END,,20260423010528094
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010534446,Exact Cash,HOOK_START,,20260423010534446
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010534446,Exact Cash,HOOK_END,,20260423010535762
POS0004 - NCRXR7,#001C.Simple Transaction 3 items: Store - OT/CS,1,1,20260423010600674,First,HOOK_START,,20260423010600674
