Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
Drinks - KVS0302,Bump Order,1,1,20260615131704976,Serve Order,HOOK_START,,20260615131704976
Drinks - KVS0302,Bump Order,1,1,20260615131704976,Serve Order,HOOK_END,,20260615131705176
Drinks - KVS0302,Bump Order,1,1,20260615131715390,Serve Order,HOOK_START,,20260615131715390
Drinks - KVS0302,Bump Order,1,1,20260615131715390,Serve Order,HOOK_END,,20260615131715540
Drinks - KVS0302,Bump Order,1,1,20260615131737525,Serve Order,HOOK_START,,20260615131737525
Drinks - KVS0302,Bump Order,1,1,20260615131737525,Serve Order,HOOK_END,,20260615131737690
Drinks - KVS0302,Bump Order,1,1,20260615131747942,Serve Order,HOOK_START,,20260615131747942
Drinks - KVS0302,Bump Order,1,1,20260615131747942,Serve Order,HOOK_END,,20260615131748043
Drinks - KVS0302,Bump Order,1,1,20260615131808815,Serve Order,HOOK_START,,20260615131808815
Drinks - KVS0302,Bump Order,1,1,20260615131808815,Serve Order,HOOK_END,,20260615131808872
Drinks - KVS0302,Bump Order,1,1,20260615131820479,Serve Order,HOOK_START,,20260615131820479
Drinks - KVS0302,Bump Order,1,1,20260615131820479,Serve Order,HOOK_END,,20260615131820580
Drinks - KVS0302,Bump Order,1,1,20260615131841306,Serve Order,HOOK_START,,20260615131841306
Drinks - KVS0302,Bump Order,1,1,20260615131841306,Serve Order,HOOK_END,,20260615131841557
Drinks - KVS0302,Bump Order,1,1,20260615131851717,Serve Order,HOOK_START,,20260615131851717
Drinks - KVS0302,Bump Order,1,1,20260615131851717,Serve Order,HOOK_END,,20260615131851969
Drinks - KVS0302,Bump Order,1,1,20260615131912542,Serve Order,HOOK_START,,20260615131912542
Drinks - KVS0302,Bump Order,1,1,20260615131912542,Serve Order,HOOK_END,,20260615131912643
Drinks - KVS0302,Bump Order,1,1,20260615131922958,Serve Order,HOOK_START,,20260615131922958
Drinks - KVS0302,Bump Order,1,1,20260615131922958,Serve Order,HOOK_END,,20260615131923059
Drinks - KVS0302,Bump Order,1,1,20260615131945086,Serve Order,HOOK_START,,20260615131945086
