Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131709394,First,HOOK_START,,20260615131709394
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131709394,First,HOOK_END,,20260615131709848
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131713859,Fries,HOOK_START,,20260615131713859
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131713859,Fries,HOOK_END,,20260615131714112
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131716163,Medium Coke,HOOK_START,,20260615131716163
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131716163,Medium Coke,HOOK_END,,20260615131716388
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131718471,Take Out Total,HOOK_START,,20260615131718471
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131718471,Take Out Total,HOOK_END,,20260615131718871
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131720767,Exact Cash,HOOK_START,,20260615131720767
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131720767,Exact Cash,HOOK_END,,20260615131721950
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131744384,First,HOOK_START,,20260615131744384
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131744384,First,HOOK_END,,20260615131744436
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131746685,New order,HOOK_START,,20260615131746685
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131746685,New order,HOOK_END,,20260615131746811
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131748987,Fries,HOOK_START,,20260615131748987
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131748987,Fries,HOOK_END,,20260615131749214
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131751289,Medium Coke,HOOK_START,,20260615131751289
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131751289,Medium Coke,HOOK_END,,20260615131751522
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131753591,Take Out Total,HOOK_START,,20260615131753591
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131753591,Take Out Total,HOOK_END,,20260615131753996
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131755894,Exact Cash,HOOK_START,,20260615131755894
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131755894,Exact Cash,HOOK_END,,20260615131756737
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131818519,First,HOOK_START,,20260615131818519
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131818519,First,HOOK_END,,20260615131818538
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131820819,New order,HOOK_START,,20260615131820819
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131820819,New order,HOOK_END,,20260615131820954
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131823121,Fries,HOOK_START,,20260615131823121
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131823121,Fries,HOOK_END,,20260615131823351
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131825422,Medium Coke,HOOK_START,,20260615131825422
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131825422,Medium Coke,HOOK_END,,20260615131825650
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131827725,Take Out Total,HOOK_START,,20260615131827725
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131827725,Take Out Total,HOOK_END,,20260615131828130
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131830028,Exact Cash,HOOK_START,,20260615131830028
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131830028,Exact Cash,HOOK_END,,20260615131830855
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131852642,First,HOOK_START,,20260615131852642
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131852642,First,HOOK_END,,20260615131852677
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131854944,New order,HOOK_START,,20260615131854944
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131854944,New order,HOOK_END,,20260615131855072
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131857248,Fries,HOOK_START,,20260615131857248
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131857248,Fries,HOOK_END,,20260615131857489
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131859548,Medium Coke,HOOK_START,,20260615131859548
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131859548,Medium Coke,HOOK_END,,20260615131859781
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131901852,Take Out Total,HOOK_START,,20260615131901852
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131901852,Take Out Total,HOOK_END,,20260615131902274
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131904154,Exact Cash,HOOK_START,,20260615131904154
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131904154,Exact Cash,HOOK_END,,20260615131905037
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131926768,First,HOOK_START,,20260615131926768
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131926768,First,HOOK_END,,20260615131926790
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131929070,New order,HOOK_START,,20260615131929070
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131929070,New order,HOOK_END,,20260615131929223
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131931371,Fries,HOOK_START,,20260615131931371
POS0003 - NCRXR7W10,#001D.Simple Transaction 3 items: Store - OT,1,1,20260615131931371,Fries,HOOK_END,,20260615131931619
