Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040725921,First Item,HOOK_START,,20260711040725921
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040725921,First Item,HOOK_END,,20260711040726629
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040729138,Fries,HOOK_START,,20260711040729138
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040729138,Fries,HOOK_END,,20260711040729434
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040730983,Coke,HOOK_START,,20260711040730983
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040730983,Coke,HOOK_END,,20260711040731258
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040732849,Eat In Total,HOOK_START,,20260711040732849
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040732849,Eat In Total,HOOK_END,,20260711040733927
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040736295,Exact Cash Tender,HOOK_START,,20260711040736295
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040736295,Exact Cash Tender,HOOK_END,,20260711040736736
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040805014,First Item,HOOK_START,,20260711040805014
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040805014,First Item,HOOK_END,,20260711040805404
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040807706,Fries,HOOK_START,,20260711040807706
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040807706,Fries,HOOK_END,,20260711040807983
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040809648,Coke,HOOK_START,,20260711040809648
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040809648,Coke,HOOK_END,,20260711040809937
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040811499,Eat In Total,HOOK_START,,20260711040811499
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040811499,Eat In Total,HOOK_END,,20260711040812089
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040814953,Exact Cash Tender,HOOK_START,,20260711040814953
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040814953,Exact Cash Tender,HOOK_END,,20260711040816247
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040843642,First Item,HOOK_START,,20260711040843642
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040843642,First Item,HOOK_END,,20260711040844164
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260711040846369,Fries,HOOK_START,,20260711040846369
