Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040740210,First Item,HOOK_START,,20260711040740210
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040740210,First Item,HOOK_END,,20260711040740952
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040743802,Fries,HOOK_START,,20260711040743802
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040743802,Fries,HOOK_END,,20260711040744080
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040745744,Coke,HOOK_START,,20260711040745744
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040745744,Coke,HOOK_END,,20260711040746035
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040747699,Take Out Total,HOOK_START,,20260711040747699
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040747699,Take Out Total,HOOK_END,,20260711040748493
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040751304,Exact Cash Tender,HOOK_START,,20260711040751304
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040751304,Exact Cash Tender,HOOK_END,,20260711040751716
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040820514,First Item,HOOK_START,,20260711040820514
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040820514,First Item,HOOK_END,,20260711040820860
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040823598,Fries,HOOK_START,,20260711040823598
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040823598,Fries,HOOK_END,,20260711040823875
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040825648,Coke,HOOK_START,,20260711040825648
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040825648,Coke,HOOK_END,,20260711040825921
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040827884,Take Out Total,HOOK_START,,20260711040827884
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040827884,Take Out Total,HOOK_END,,20260711040828529
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040831605,Exact Cash Tender,HOOK_START,,20260711040831605
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040831605,Exact Cash Tender,HOOK_END,,20260711040832852
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040859999,First Item,HOOK_START,,20260711040859999
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040859999,First Item,HOOK_END,,20260711040900804
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040903077,Fries,HOOK_START,,20260711040903077
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040903077,Fries,HOOK_END,,20260711040903346
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040905025,Coke,HOOK_START,,20260711040905025
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040905025,Coke,HOOK_END,,20260711040905303
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040907073,Take Out Total,HOOK_START,,20260711040907073
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040907073,Take Out Total,HOOK_END,,20260711040907831
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040910616,Exact Cash Tender,HOOK_START,,20260711040910616
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040910616,Exact Cash Tender,HOOK_END,,20260711040911853
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040940218,First Item,HOOK_START,,20260711040940218
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040940218,First Item,HOOK_END,,20260711040940481
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040943151,Fries,HOOK_START,,20260711040943151
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040943151,Fries,HOOK_END,,20260711040943423
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040945217,Coke,HOOK_START,,20260711040945217
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040945217,Coke,HOOK_END,,20260711040945492
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040947164,Take Out Total,HOOK_START,,20260711040947164
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040947164,Take Out Total,HOOK_END,,20260711040947775
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040950789,Exact Cash Tender,HOOK_START,,20260711040950789
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711040950789,Exact Cash Tender,HOOK_END,,20260711040951999
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711041018949,First Item,HOOK_START,,20260711041018949
