Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040737443,First Item,HOOK_START,,20260711040737443
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040737443,First Item,HOOK_END,,20260711040738223
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040740790,Fries,HOOK_START,,20260711040740790
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040740790,Fries,HOOK_END,,20260711040741065
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040742725,Coke,HOOK_START,,20260711040742725
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040742725,Coke,HOOK_END,,20260711040743030
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040744804,Take Out Total,HOOK_START,,20260711040744804
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040744804,Take Out Total,HOOK_END,,20260711040745546
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040748569,Store,HOOK_START,,20260711040748569
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040748569,Store,HOOK_END,,20260711040749054
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040752349,Recall,HOOK_START,,20260711040752349
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040752349,Recall,HOOK_END,,20260711040752675
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040758155,ImageOrder1,HOOK_START,,20260711040758155
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040758155,ImageOrder1,HOOK_END,,20260711040758975
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040803449,Exact Cash Tender,HOOK_START,,20260711040803449
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040803449,Exact Cash Tender,HOOK_END,,20260711040803835
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040833025,First Item,HOOK_START,,20260711040833025
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040833025,First Item,HOOK_END,,20260711040833401
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040836042,Fries,HOOK_START,,20260711040836042
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040836042,Fries,HOOK_END,,20260711040836344
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040838201,Coke,HOOK_START,,20260711040838201
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040838201,Coke,HOOK_END,,20260711040838491
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040840160,Take Out Total,HOOK_START,,20260711040840160
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040840160,Take Out Total,HOOK_END,,20260711040840831
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040843740,Store,HOOK_START,,20260711040843740
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040843740,Store,HOOK_END,,20260711040844220
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040847310,Recall,HOOK_START,,20260711040847310
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040847310,Recall,HOOK_END,,20260711040847618
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040854535,ImageOrder1,HOOK_START,,20260711040854535
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260711040854535,ImageOrder1,HOOK_END,,20260711040855252
