Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040741965,First Item,HOOK_START,,20260711040741965
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040741965,First Item,HOOK_END,,20260711040742830
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040744539,Fries,HOOK_START,,20260711040744539
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040744539,Fries,HOOK_END,,20260711040744853
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040746843,Coke,HOOK_START,,20260711040746843
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040746843,Coke,HOOK_END,,20260711040747155
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040749143,Take Out Total,HOOK_START,,20260711040749143
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040749143,Take Out Total,HOOK_END,,20260711040750070
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040752450,Exact Cash Tender,HOOK_START,,20260711040752450
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040752450,Exact Cash Tender,HOOK_END,,20260711040752929
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040820777,First Item,HOOK_START,,20260711040820777
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040820777,First Item,HOOK_END,,20260711040821302
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040823369,Fries,HOOK_START,,20260711040823369
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040823369,Fries,HOOK_END,,20260711040823671
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040825672,Coke,HOOK_START,,20260711040825672
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040825672,Coke,HOOK_END,,20260711040825991
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040827972,Take Out Total,HOOK_START,,20260711040827972
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040827972,Take Out Total,HOOK_END,,20260711040828711
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040831277,Exact Cash Tender,HOOK_START,,20260711040831277
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040831277,Exact Cash Tender,HOOK_END,,20260711040832533
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040859594,First Item,HOOK_START,,20260711040859594
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040859594,First Item,HOOK_END,,20260711040859914
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040902197,Fries,HOOK_START,,20260711040902197
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040902197,Fries,HOOK_END,,20260711040902523
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040905212,Coke,HOOK_START,,20260711040905212
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040905212,Coke,HOOK_END,,20260711040905516
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040906802,Take Out Total,HOOK_START,,20260711040906802
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040906802,Take Out Total,HOOK_END,,20260711040907549
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040910105,Exact Cash Tender,HOOK_START,,20260711040910105
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040910105,Exact Cash Tender,HOOK_END,,20260711040911367
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040938429,First Item,HOOK_START,,20260711040938429
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040938429,First Item,HOOK_END,,20260711040938733
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040941024,Fries,HOOK_START,,20260711040941024
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040941024,Fries,HOOK_END,,20260711040941319
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040943328,Coke,HOOK_START,,20260711040943328
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040943328,Coke,HOOK_END,,20260711040943644
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040945634,Take Out Total,HOOK_START,,20260711040945634
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040945634,Take Out Total,HOOK_END,,20260711040946300
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040948933,Exact Cash Tender,HOOK_START,,20260711040948933
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711040948933,Exact Cash Tender,HOOK_END,,20260711040950185
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041017252,First Item,HOOK_START,,20260711041017252
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041017252,First Item,HOOK_END,,20260711041017542
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041019852,Fries,HOOK_START,,20260711041019852
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041019852,Fries,HOOK_END,,20260711041020155
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041022156,Coke,HOOK_START,,20260711041022156
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041022156,Coke,HOOK_END,,20260711041022476
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041024459,Take Out Total,HOOK_START,,20260711041024459
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041024459,Take Out Total,HOOK_END,,20260711041025150
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041027760,Exact Cash Tender,HOOK_START,,20260711041027760
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041027760,Exact Cash Tender,HOOK_END,,20260711041029069
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041056076,First Item,HOOK_START,,20260711041056076
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041056076,First Item,HOOK_END,,20260711041056405
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041058676,Fries,HOOK_START,,20260711041058676
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041058676,Fries,HOOK_END,,20260711041058975
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041100979,Coke,HOOK_START,,20260711041100979
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041100979,Coke,HOOK_END,,20260711041101318
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041103284,Take Out Total,HOOK_START,,20260711041103284
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041103284,Take Out Total,HOOK_END,,20260711041103957
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041107303,Exact Cash Tender,HOOK_START,,20260711041107303
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041107303,Exact Cash Tender,HOOK_END,,20260711041108603
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041134914,First Item,HOOK_START,,20260711041134914
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041134914,First Item,HOOK_END,,20260711041135293
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041137505,Fries,HOOK_START,,20260711041137505
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041137505,Fries,HOOK_END,,20260711041137833
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041139806,Coke,HOOK_START,,20260711041139806
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041139806,Coke,HOOK_END,,20260711041140108
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260711041142111,Take Out Total,HOOK_START,,20260711041142111
