Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711055452657,First Item,HOOK_START,,20260711055452657
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711055452657,First Item,HOOK_END,,20260711055453047
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711055455706,Fries,HOOK_START,,20260711055455706
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711055455706,Fries,HOOK_END,,20260711055455969
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711055457563,Coke,HOOK_START,,20260711055457563
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711055457563,Coke,HOOK_END,,20260711055457845
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711055459405,Take Out Total,HOOK_START,,20260711055459405
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711055459405,Take Out Total,HOOK_END,,20260711055500073
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711055502788,Exact Cash Tender,HOOK_START,,20260711055502788
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711055502788,Exact Cash Tender,HOOK_END,,20260711055504041
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711060000805,First Item,HOOK_START,,20260711060000805
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711060000805,First Item,HOOK_END,,20260711060001080
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711060003515,Fries,HOOK_START,,20260711060003515
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711060003515,Fries,HOOK_END,,20260711060003783
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711060005359,Coke,HOOK_START,,20260711060005359
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711060005359,Coke,HOOK_END,,20260711060005639
POS0001 - JS970WS,#001B.Simple Transaction 3 items: TakeOut,1,1,20260711060007223,Take Out Total,HOOK_START,,20260711060007223
