Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055508405,First Item,HOOK_START,,20260711055508405
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055508405,First Item,HOOK_END,,20260711055508820
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055511853,Qtr_Cheese,HOOK_START,,20260711055511853
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055511853,Qtr_Cheese,HOOK_END,,20260711055512154
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055513943,Add,HOOK_START,,20260711055513943
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055513943,Add,HOOK_END,,20260711055513945
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055515924,Salsa sauce,HOOK_START,,20260711055515924
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055515924,Salsa sauce,HOOK_END,,20260711055516298
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055518040,Only,HOOK_START,,20260711055518040
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055518040,Only,HOOK_END,,20260711055518043
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055520023,Pickles,HOOK_START,,20260711055520023
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055520023,Pickles,HOOK_END,,20260711055520313
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055522160,Bacon Mayo,HOOK_START,,20260711055522160
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055522160,Bacon Mayo,HOOK_END,,20260711055522615
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055524123,First Item,HOOK_START,,20260711055524123
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055524123,First Item,HOOK_END,,20260711055524464
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055527747,Make Meal,HOOK_START,,20260711055527747
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055527747,Make Meal,HOOK_END,,20260711055527749
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055530013,Make_Medium_Meal,HOOK_START,,20260711055530013
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055530013,Make_Medium_Meal,HOOK_END,,20260711055530331
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055532006,Med_Evm_Menu,HOOK_START,,20260711055532006
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055532006,Med_Evm_Menu,HOOK_END,,20260711055532034
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055533988,Coke M EVM,HOOK_START,,20260711055533988
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055533988,Coke M EVM,HOOK_END,,20260711055534373
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055535995,Fries M EVM,HOOK_START,,20260711055535995
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055535995,Fries M EVM,HOOK_END,,20260711055536351
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055537972,Lunch Menu,HOOK_START,,20260711055537972
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055537972,Lunch Menu,HOOK_END,,20260711055538038
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055539948,Cheese Burger,HOOK_START,,20260711055539948
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055539948,Cheese Burger,HOOK_END,,20260711055540278
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055541994,Add,HOOK_START,,20260711055541994
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055541994,Add,HOOK_END,,20260711055541996
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055544111,Ketchup,HOOK_START,,20260711055544111
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055544111,Ketchup,HOOK_END,,20260711055544422
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055546248,Only,HOOK_START,,20260711055546248
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055546248,Only,HOOK_END,,20260711055546251
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055548217,Salsa sauce,HOOK_START,,20260711055548217
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055548217,Salsa sauce,HOOK_END,,20260711055548543
POS0002 - NCRXR7PR77,#003B.Complex Grill Transaction 11 items: TakeOut,1,1,20260711055550200,Hot Drinks,HOOK_START,,20260711055550200
