Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055504911,First Item,HOOK_START,,20260711055504911
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055504911,First Item,HOOK_END,,20260711055505181
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055508210,6 Nuggets,HOOK_START,,20260711055508210
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055508210,6 Nuggets,HOOK_END,,20260711055508485
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055510119,BBQ,HOOK_START,,20260711055510119
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055510119,BBQ,HOOK_END,,20260711055510371
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055512020,Sweet Chilli,HOOK_START,,20260711055512020
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055512020,Sweet Chilli,HOOK_END,,20260711055512292
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055513913,Filet o Fish,HOOK_START,,20260711055513913
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055513913,Filet o Fish,HOOK_END,,20260711055514250
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055515821,Tartar Sauce,HOOK_START,,20260711055515821
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055515821,Tartar Sauce,HOOK_END,,20260711055516179
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055517775,Add,HOOK_START,,20260711055517775
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055517775,Add,HOOK_END,,20260711055517777
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055519683,Cheese,HOOK_START,,20260711055519683
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055519683,Cheese,HOOK_END,,20260711055519942
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055521718,Only,HOOK_START,,20260711055521718
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055521718,Only,HOOK_END,,20260711055521720
POS0013 - NCRXR7PR7,#002C.Medium Grill Transaction 8 items: Store,1,1,20260711055523616,Pickles,HOOK_START,,20260711055523616
