Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0014 - NCRXR7W10DT,#002E.Medium Transaction 8 items OrderTaker: TakeOut,1,1,20260711055509653,First Item,HOOK_START,,20260711055509653
POS0014 - NCRXR7W10DT,#002E.Medium Transaction 8 items OrderTaker: TakeOut,1,1,20260711055509653,First Item,HOOK_END,,20260711055510062
POS0014 - NCRXR7W10DT,#002E.Medium Transaction 8 items OrderTaker: TakeOut,1,1,20260711055512225,6 Nuggets,HOOK_START,,20260711055512225
POS0014 - NCRXR7W10DT,#002E.Medium Transaction 8 items OrderTaker: TakeOut,1,1,20260711055512225,6 Nuggets,HOOK_END,,20260711055512531
POS0014 - NCRXR7W10DT,#002E.Medium Transaction 8 items OrderTaker: TakeOut,1,1,20260711055514539,BBQ,HOOK_START,,20260711055514539
POS0014 - NCRXR7W10DT,#002E.Medium Transaction 8 items OrderTaker: TakeOut,1,1,20260711055514539,BBQ,HOOK_END,,20260711055514819
POS0014 - NCRXR7W10DT,#002E.Medium Transaction 8 items OrderTaker: TakeOut,1,1,20260711055516844,Sweet Chilli,HOOK_START,,20260711055516844
POS0014 - NCRXR7W10DT,#002E.Medium Transaction 8 items OrderTaker: TakeOut,1,1,20260711055516844,Sweet Chilli,HOOK_END,,20260711055517151
POS0014 - NCRXR7W10DT,#002E.Medium Transaction 8 items OrderTaker: TakeOut,1,1,20260711055519145,Filet o Fish,HOOK_START,,20260711055519145
POS0014 - NCRXR7W10DT,#002E.Medium Transaction 8 items OrderTaker: TakeOut,1,1,20260711055519145,Filet o Fish,HOOK_END,,20260711055519504
POS0014 - NCRXR7W10DT,#002E.Medium Transaction 8 items OrderTaker: TakeOut,1,1,20260711055521564,Tartar Sauce,HOOK_START,,20260711055521564
POS0014 - NCRXR7W10DT,#002E.Medium Transaction 8 items OrderTaker: TakeOut,1,1,20260711055521564,Tartar Sauce,HOOK_END,,20260711055521942
POS0014 - NCRXR7W10DT,#002E.Medium Transaction 8 items OrderTaker: TakeOut,1,1,20260711055523845,Add,HOOK_START,,20260711055523845
POS0014 - NCRXR7W10DT,#002E.Medium Transaction 8 items OrderTaker: TakeOut,1,1,20260711055523845,Add,HOOK_END,,20260711055523847
