Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202430851,First Item,HOOK_START,,20260713202430851
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202430851,First Item,HOOK_END,,20260713202431573
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202433919,Fries,HOOK_START,,20260713202433919
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202433919,Fries,HOOK_END,,20260713202434188
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202435776,Coke,HOOK_START,,20260713202435776
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202435776,Coke,HOOK_END,,20260713202436052
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202437646,Eat In Total,HOOK_START,,20260713202437646
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202437646,Eat In Total,HOOK_END,,20260713202438329
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202441037,Exact Cash Tender,HOOK_START,,20260713202441037
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202441037,Exact Cash Tender,HOOK_END,,20260713202442227
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202447462,First Item,HOOK_START,,20260713202447462
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202447462,First Item,HOOK_END,,20260713202447740
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202450866,Fries,HOOK_START,,20260713202450866
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202450866,Fries,HOOK_END,,20260713202451148
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202452768,Coke,HOOK_START,,20260713202452768
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202452768,Coke,HOOK_END,,20260713202453034
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202454697,Eat In Total,HOOK_START,,20260713202454697
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202454697,Eat In Total,HOOK_END,,20260713202455292
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202458079,Exact Cash Tender,HOOK_START,,20260713202458079
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202458079,Exact Cash Tender,HOOK_END,,20260713202459293
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202504537,First Item,HOOK_START,,20260713202504537
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202504537,First Item,HOOK_END,,20260713202504988
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202508378,Fries,HOOK_START,,20260713202508378
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202508378,Fries,HOOK_END,,20260713202508738
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202510390,Coke,HOOK_START,,20260713202510390
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202510390,Coke,HOOK_END,,20260713202510752
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202512403,Eat In Total,HOOK_START,,20260713202512403
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202512403,Eat In Total,HOOK_END,,20260713202513118
POS0001 - JS970WS,#001A.Simple Transaction 3 items: EatIn,1,1,20260713202516025,Exact Cash Tender,HOOK_START,,20260713202516025
