Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202444529,First Item,HOOK_START,,20260713202444529
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202444529,First Item,HOOK_END,,20260713202445489
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202448133,Fries,HOOK_START,,20260713202448133
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202448133,Fries,HOOK_END,,20260713202448416
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202450142,Coke,HOOK_START,,20260713202450142
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202450142,Coke,HOOK_END,,20260713202450419
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202452217,Take Out Total,HOOK_START,,20260713202452217
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202452217,Take Out Total,HOOK_END,,20260713202452927
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202455833,Exact Cash Tender,HOOK_START,,20260713202455833
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202455833,Exact Cash Tender,HOOK_END,,20260713202457029
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202503707,First Item,HOOK_START,,20260713202503707
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202503707,First Item,HOOK_END,,20260713202504085
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202507325,Fries,HOOK_START,,20260713202507325
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202507325,Fries,HOOK_END,,20260713202507603
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202509322,Coke,HOOK_START,,20260713202509322
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202509322,Coke,HOOK_END,,20260713202509601
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202511281,Take Out Total,HOOK_START,,20260713202511281
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202511281,Take Out Total,HOOK_END,,20260713202511894
POS0002 - NCRXR7PR77,#001B.Simple Transaction 3 items: TakeOut,1,1,20260713202514983,Exact Cash Tender,HOOK_START,,20260713202514983
