Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202443563,First Item,HOOK_START,,20260713202443563
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202443563,First Item,HOOK_END,,20260713202443950
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202446155,Fries,HOOK_START,,20260713202446155
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202446155,Fries,HOOK_END,,20260713202446441
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202448456,Coke,HOOK_START,,20260713202448456
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202448456,Coke,HOOK_END,,20260713202448763
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202450764,Take Out Total,HOOK_START,,20260713202450764
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202450764,Take Out Total,HOOK_END,,20260713202451505
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202454075,Exact Cash Tender,HOOK_START,,20260713202454075
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202454075,Exact Cash Tender,HOOK_END,,20260713202455294
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202501375,First Item,HOOK_START,,20260713202501375
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202501375,First Item,HOOK_END,,20260713202501660
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202504679,Fries,HOOK_START,,20260713202504679
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202504679,Fries,HOOK_END,,20260713202505010
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202506983,Coke,HOOK_START,,20260713202506983
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202506983,Coke,HOOK_END,,20260713202507300
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202509294,Take Out Total,HOOK_START,,20260713202509294
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202509294,Take Out Total,HOOK_END,,20260713202510479
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202513592,Exact Cash Tender,HOOK_START,,20260713202513592
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202513592,Exact Cash Tender,HOOK_END,,20260713202515079
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202520896,First Item,HOOK_START,,20260713202520896
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202520896,First Item,HOOK_END,,20260713202521445
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202524198,Fries,HOOK_START,,20260713202524198
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202524198,Fries,HOOK_END,,20260713202524554
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202526508,Coke,HOOK_START,,20260713202526508
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202526508,Coke,HOOK_END,,20260713202527061
POS0014 - NCRXR7W10DT,#001D.Simple Transaction 3 items OrderTaker: TakeOut,1,1,20260713202528806,Take Out Total,HOOK_START,,20260713202528806
