Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221339324,First Item,HOOK_START,,20260720221339324
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221339324,First Item,HOOK_END,,20260720221340114
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221342842,Fries,HOOK_START,,20260720221342842
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221342842,Fries,HOOK_END,,20260720221343172
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221344884,Medium Coke,HOOK_START,,20260720221344884
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221344884,Medium Coke,HOOK_END,,20260720221345216
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221346887,Take Out Total,HOOK_START,,20260720221346887
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221346887,Take Out Total,HOOK_END,,20260720221347972
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221350898,Exact Cash Tender,HOOK_START,,20260720221350898
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221350898,Exact Cash Tender,HOOK_END,,20260720221351329
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221415150,First Item,HOOK_START,,20260720221415150
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221415150,First Item,HOOK_END,,20260720221415593
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221416561,Fries,HOOK_START,,20260720221416561
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221416561,Fries,HOOK_END,,20260720221416872
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221418592,Medium Coke,HOOK_START,,20260720221418592
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221418592,Medium Coke,HOOK_END,,20260720221418906
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221420706,Take Out Total,HOOK_START,,20260720221420706
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221420706,Take Out Total,HOOK_END,,20260720221421794
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221424468,Exact Cash Tender,HOOK_START,,20260720221424468
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221424468,Exact Cash Tender,HOOK_END,,20260720221425978
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221449985,First Item,HOOK_START,,20260720221449985
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221449985,First Item,HOOK_END,,20260720221450497
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221453110,Fries,HOOK_START,,20260720221453110
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221453110,Fries,HOOK_END,,20260720221453400
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221456127,Medium Coke,HOOK_START,,20260720221456127
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221456127,Medium Coke,HOOK_END,,20260720221456466
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221458944,Take Out Total,HOOK_START,,20260720221458944
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221458944,Take Out Total,HOOK_END,,20260720221500040
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221502817,Exact Cash Tender,HOOK_START,,20260720221502817
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221502817,Exact Cash Tender,HOOK_END,,20260720221504368
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221527984,First Item,HOOK_START,,20260720221527984
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221527984,First Item,HOOK_END,,20260720221528548
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221531077,Fries,HOOK_START,,20260720221531077
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221531077,Fries,HOOK_END,,20260720221531373
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221533052,Medium Coke,HOOK_START,,20260720221533052
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221533052,Medium Coke,HOOK_END,,20260720221533367
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221535037,Take Out Total,HOOK_START,,20260720221535037
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221535037,Take Out Total,HOOK_END,,20260720221536079
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221538766,Exact Cash Tender,HOOK_START,,20260720221538766
