Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221351052,First Item,HOOK_START,,20260720221351052
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221351052,First Item,HOOK_END,,20260720221352084
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221355315,Fries,HOOK_START,,20260720221355315
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221355315,Fries,HOOK_END,,20260720221355618
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221357638,Medium Coke,HOOK_START,,20260720221357638
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221357638,Medium Coke,HOOK_END,,20260720221357962
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221359879,Take Out Total,HOOK_START,,20260720221359879
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221359879,Take Out Total,HOOK_END,,20260720221400810
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221402220,Exact Cash Tender,HOOK_START,,20260720221402220
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221402220,Exact Cash Tender,HOOK_END,,20260720221402492
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221427263,First Item,HOOK_START,,20260720221427263
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221427263,First Item,HOOK_END,,20260720221427768
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221430726,Fries,HOOK_START,,20260720221430726
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221430726,Fries,HOOK_END,,20260720221431026
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221432943,Medium Coke,HOOK_START,,20260720221432943
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221432943,Medium Coke,HOOK_END,,20260720221433237
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221435175,Take Out Total,HOOK_START,,20260720221435175
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221435175,Take Out Total,HOOK_END,,20260720221436203
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221437500,Exact Cash Tender,HOOK_START,,20260720221437500
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221437500,Exact Cash Tender,HOOK_END,,20260720221438989
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221501728,First Item,HOOK_START,,20260720221501728
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221501728,First Item,HOOK_END,,20260720221502409
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221504095,Fries,HOOK_START,,20260720221504095
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221504095,Fries,HOOK_END,,20260720221504535
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221507904,Medium Coke,HOOK_START,,20260720221507904
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221507904,Medium Coke,HOOK_END,,20260720221508300
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221509702,Take Out Total,HOOK_START,,20260720221509702
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221509702,Take Out Total,HOOK_END,,20260720221510255
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221513474,Exact Cash Tender,HOOK_START,,20260720221513474
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221513474,Exact Cash Tender,HOOK_END,,20260720221515316
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221538892,First Item,HOOK_START,,20260720221538892
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221538892,First Item,HOOK_END,,20260720221539378
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221540454,Fries,HOOK_START,,20260720221540454
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720221540454,Fries,HOOK_END,,20260720221540732
