Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221347308,First Item,HOOK_START,,20260720221347308
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221347308,First Item,HOOK_END,,20260720221348391
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221349707,Fries,HOOK_START,,20260720221349707
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221349707,Fries,HOOK_END,,20260720221350002
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221352263,Medium Coke,HOOK_START,,20260720221352263
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221352263,Medium Coke,HOOK_END,,20260720221352611
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221354671,Take Out Total,HOOK_START,,20260720221354671
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221354671,Take Out Total,HOOK_END,,20260720221356076
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221357515,Store,HOOK_START,,20260720221357515
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221357515,Store,HOOK_END,,20260720221358140
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221359978,Recall,HOOK_START,,20260720221359978
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221359978,Recall,HOOK_END,,20260720221401009
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221404908,Exact Cash Tender,HOOK_START,,20260720221404908
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221404908,Exact Cash Tender,HOOK_END,,20260720221405175
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221429461,First Item,HOOK_START,,20260720221429461
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221429461,First Item,HOOK_END,,20260720221429999
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221433326,Fries,HOOK_START,,20260720221433326
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221433326,Fries,HOOK_END,,20260720221433655
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221435822,Medium Coke,HOOK_START,,20260720221435822
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221435822,Medium Coke,HOOK_END,,20260720221436182
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221438140,Take Out Total,HOOK_START,,20260720221438140
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221438140,Take Out Total,HOOK_END,,20260720221438499
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221440689,Store,HOOK_START,,20260720221440689
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221440689,Store,HOOK_END,,20260720221441237
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221443703,Recall,HOOK_START,,20260720221443703
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221443703,Recall,HOOK_END,,20260720221444793
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221450049,Exact Cash Tender,HOOK_START,,20260720221450049
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221450049,Exact Cash Tender,HOOK_END,,20260720221451585
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221516253,First Item,HOOK_START,,20260720221516253
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221516253,First Item,HOOK_END,,20260720221516842
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221518123,Fries,HOOK_START,,20260720221518123
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221518123,Fries,HOOK_END,,20260720221518451
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221520444,Medium Coke,HOOK_START,,20260720221520444
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221520444,Medium Coke,HOOK_END,,20260720221520773
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221522785,Take Out Total,HOOK_START,,20260720221522785
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221522785,Take Out Total,HOOK_END,,20260720221523924
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221525237,Store,HOOK_START,,20260720221525237
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221525237,Store,HOOK_END,,20260720221525972
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221527767,Recall,HOOK_START,,20260720221527767
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221527767,Recall,HOOK_END,,20260720221528881
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221533125,Exact Cash Tender,HOOK_START,,20260720221533125
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221533125,Exact Cash Tender,HOOK_END,,20260720221534665
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221559009,First Item,HOOK_START,,20260720221559009
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221559009,First Item,HOOK_END,,20260720221559432
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221601038,Fries,HOOK_START,,20260720221601038
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221601038,Fries,HOOK_END,,20260720221601333
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221603512,Medium Coke,HOOK_START,,20260720221603512
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221603512,Medium Coke,HOOK_END,,20260720221603824
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221605975,Take Out Total,HOOK_START,,20260720221605975
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221605975,Take Out Total,HOOK_END,,20260720221607111
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221608596,Store,HOOK_START,,20260720221608596
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221608596,Store,HOOK_END,,20260720221609165
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221611192,Recall,HOOK_START,,20260720221611192
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221611192,Recall,HOOK_END,,20260720221612155
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221616285,Exact Cash Tender,HOOK_START,,20260720221616285
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221616285,Exact Cash Tender,HOOK_END,,20260720221617801
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221640219,First Item,HOOK_START,,20260720221640219
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221640219,First Item,HOOK_END,,20260720221640688
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221642732,Fries,HOOK_START,,20260720221642732
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221642732,Fries,HOOK_END,,20260720221643073
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221644588,Medium Coke,HOOK_START,,20260720221644588
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221644588,Medium Coke,HOOK_END,,20260720221644954
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221647102,Take Out Total,HOOK_START,,20260720221647102
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221647102,Take Out Total,HOOK_END,,20260720221647419
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221649843,Store,HOOK_START,,20260720221649843
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221649843,Store,HOOK_END,,20260720221650447
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221652473,Recall,HOOK_START,,20260720221652473
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221652473,Recall,HOOK_END,,20260720221653478
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221657664,Exact Cash Tender,HOOK_START,,20260720221657664
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221657664,Exact Cash Tender,HOOK_END,,20260720221659227
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221724937,First Item,HOOK_START,,20260720221724937
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221724937,First Item,HOOK_END,,20260720221725510
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221727581,Fries,HOOK_START,,20260720221727581
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221727581,Fries,HOOK_END,,20260720221727911
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221730119,Medium Coke,HOOK_START,,20260720221730119
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221730119,Medium Coke,HOOK_END,,20260720221730488
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221732704,Take Out Total,HOOK_START,,20260720221732704
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221732704,Take Out Total,HOOK_END,,20260720221733024
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221735407,Store,HOOK_START,,20260720221735407
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221735407,Store,HOOK_END,,20260720221735982
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - OT/CS,1,1,20260720221737883,Recall,HOOK_START,,20260720221737883
