Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - CS,1,1,20260720221351124,First Item,HOOK_START,,20260720221351124
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - CS,1,1,20260720221351124,First Item,HOOK_END,,20260720221352175
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - CS,1,1,20260720221356020,Fries,HOOK_START,,20260720221356020
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - CS,1,1,20260720221356020,Fries,HOOK_END,,20260720221356323
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - CS,1,1,20260720221358355,Medium Coke,HOOK_START,,20260720221358355
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - CS,1,1,20260720221358355,Medium Coke,HOOK_END,,20260720221358686
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - CS,1,1,20260720221400656,Take Out Total,HOOK_START,,20260720221400656
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - CS,1,1,20260720221400656,Take Out Total,HOOK_END,,20260720221401777
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - CS,1,1,20260720221403961,Exact Cash Tender,HOOK_START,,20260720221403961
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - CS,1,1,20260720221403961,Exact Cash Tender,HOOK_END,,20260720221404421
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - CS,1,1,20260720221427269,First Item,HOOK_START,,20260720221427269
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - CS,1,1,20260720221427269,First Item,HOOK_END,,20260720221427355
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - CS,1,1,20260720221428877,New Order,HOOK_START,,20260720221428877
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - CS,1,1,20260720221428877,New Order,HOOK_END,,20260720221429492
