Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131705366,First,HOOK_START,,20260615131705366
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131705366,First,HOOK_END,,20260615131705690
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131707525,Fries,HOOK_START,,20260615131707525
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131707525,Fries,HOOK_END,,20260615131707769
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131709831,Medium Coke,HOOK_START,,20260615131709831
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131709831,Medium Coke,HOOK_END,,20260615131710057
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131712130,Take Out Total,HOOK_START,,20260615131712130
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131712130,Take Out Total,HOOK_END,,20260615131712516
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131714435,Exact Cash,HOOK_START,,20260615131714435
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131714435,Exact Cash,HOOK_END,,20260615131715464
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131738052,First,HOOK_START,,20260615131738052
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131738052,First,HOOK_END,,20260615131738157
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131740354,Fries,HOOK_START,,20260615131740354
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131740354,Fries,HOOK_END,,20260615131740567
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131742660,Medium Coke,HOOK_START,,20260615131742660
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131742660,Medium Coke,HOOK_END,,20260615131742879
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131744960,Take Out Total,HOOK_START,,20260615131744960
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131744960,Take Out Total,HOOK_END,,20260615131745336
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131747264,Exact Cash,HOOK_START,,20260615131747264
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131747264,Exact Cash,HOOK_END,,20260615131748087
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131809878,First,HOOK_START,,20260615131809878
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131809878,First,HOOK_END,,20260615131809990
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131812181,Fries,HOOK_START,,20260615131812181
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131812181,Fries,HOOK_END,,20260615131812403
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131814482,Medium Coke,HOOK_START,,20260615131814482
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131814482,Medium Coke,HOOK_END,,20260615131814701
