Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133117090,First Item,HOOK_START,,20260720133117090
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133117090,First Item,HOOK_END,,20260720133117827
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133120707,Fries,HOOK_START,,20260720133120707
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133120707,Fries,HOOK_END,,20260720133120927
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133124430,Medium Coke,HOOK_START,,20260720133124430
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133124430,Medium Coke,HOOK_END,,20260720133124662
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133128165,Take Out Total,HOOK_START,,20260720133128165
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133128165,Take Out Total,HOOK_END,,20260720133128565
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133132003,Exact Cash Tender,HOOK_START,,20260720133132003
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133132003,Exact Cash Tender,HOOK_END,,20260720133133468
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133156413,First Item,HOOK_START,,20260720133156413
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133156413,First Item,HOOK_END,,20260720133156659
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133200088,Fries,HOOK_START,,20260720133200088
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133200088,Fries,HOOK_END,,20260720133200292
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133203763,Medium Coke,HOOK_START,,20260720133203763
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133203763,Medium Coke,HOOK_END,,20260720133203990
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133207463,Take Out Total,HOOK_START,,20260720133207463
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133207463,Take Out Total,HOOK_END,,20260720133207837
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133211143,Exact Cash Tender,HOOK_START,,20260720133211143
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133211143,Exact Cash Tender,HOOK_END,,20260720133212016
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133235555,First Item,HOOK_START,,20260720133235555
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133235555,First Item,HOOK_END,,20260720133235855
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133239218,Fries,HOOK_START,,20260720133239218
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133239218,Fries,HOOK_END,,20260720133239437
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133242896,Medium Coke,HOOK_START,,20260720133242896
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133242896,Medium Coke,HOOK_END,,20260720133243103
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133246596,Take Out Total,HOOK_START,,20260720133246596
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133246596,Take Out Total,HOOK_END,,20260720133246988
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133250308,Exact Cash Tender,HOOK_START,,20260720133250308
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133250308,Exact Cash Tender,HOOK_END,,20260720133251173
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133314626,First Item,HOOK_START,,20260720133314626
POS0001 - 970FC,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133314626,First Item,HOOK_END,,20260720133314796
