Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133150186,First Item,HOOK_START,,20260720133150186
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133150186,First Item,HOOK_END,,20260720133150448
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133154106,Fries,HOOK_START,,20260720133154106
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133154106,Fries,HOOK_END,,20260720133154317
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133158124,Medium Coke,HOOK_START,,20260720133158124
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133158124,Medium Coke,HOOK_END,,20260720133158348
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133202243,Take Out Total,HOOK_START,,20260720133202243
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133202243,Take Out Total,HOOK_END,,20260720133202629
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133206323,Exact Cash Tender,HOOK_START,,20260720133206323
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133206323,Exact Cash Tender,HOOK_END,,20260720133207696
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133234045,First Item,HOOK_START,,20260720133234045
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133234045,First Item,HOOK_END,,20260720133234342
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133238175,Fries,HOOK_START,,20260720133238175
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133238175,Fries,HOOK_END,,20260720133238391
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133242295,Medium Coke,HOOK_START,,20260720133242295
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133242295,Medium Coke,HOOK_END,,20260720133242523
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133246392,Take Out Total,HOOK_START,,20260720133246392
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133246392,Take Out Total,HOOK_END,,20260720133246771
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133250528,Exact Cash Tender,HOOK_START,,20260720133250528
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133250528,Exact Cash Tender,HOOK_END,,20260720133251408
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133318023,First Item,HOOK_START,,20260720133318023
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133318023,First Item,HOOK_END,,20260720133318268
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133322176,Fries,HOOK_START,,20260720133322176
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133322176,Fries,HOOK_END,,20260720133322374
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133326275,Medium Coke,HOOK_START,,20260720133326275
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133326275,Medium Coke,HOOK_END,,20260720133326487
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133330376,Take Out Total,HOOK_START,,20260720133330376
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133330376,Take Out Total,HOOK_END,,20260720133330779
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133334361,Exact Cash Tender,HOOK_START,,20260720133334361
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133334361,Exact Cash Tender,HOOK_END,,20260720133335246
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133401841,First Item,HOOK_START,,20260720133401841
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133401841,First Item,HOOK_END,,20260720133402084
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133405996,Fries,HOOK_START,,20260720133405996
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133405996,Fries,HOOK_END,,20260720133406198
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133410133,Medium Coke,HOOK_START,,20260720133410133
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133410133,Medium Coke,HOOK_END,,20260720133410362
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133414313,Take Out Total,HOOK_START,,20260720133414313
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133414313,Take Out Total,HOOK_END,,20260720133414696
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133418393,Exact Cash Tender,HOOK_START,,20260720133418393
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133418393,Exact Cash Tender,HOOK_END,,20260720133419265
POS0002 - NCRXR7PR77,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260720133445868,First Item,HOOK_START,,20260720133445868
