Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133122546,First Item,HOOK_START,,20260720133122546
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133122546,First Item,HOOK_END,,20260720133123536
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133125169,Fries,HOOK_START,,20260720133125169
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133125169,Fries,HOOK_END,,20260720133125497
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133127834,Medium Coke,HOOK_START,,20260720133127834
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133127834,Medium Coke,HOOK_END,,20260720133128159
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133131212,Take Out Total,HOOK_START,,20260720133131212
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133131212,Take Out Total,HOOK_END,,20260720133131593
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133134962,Store,HOOK_START,,20260720133134962
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133134962,Store,HOOK_END,,20260720133135564
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133137986,Recall,HOOK_START,,20260720133137986
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133137986,Recall,HOOK_END,,20260720133138920
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133144546,Exact Cash Tender,HOOK_START,,20260720133144546
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133144546,Exact Cash Tender,HOOK_END,,20260720133145029
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133209619,First Item,HOOK_START,,20260720133209619
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133209619,First Item,HOOK_END,,20260720133210184
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133212473,Fries,HOOK_START,,20260720133212473
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133212473,Fries,HOOK_END,,20260720133212825
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133215360,Medium Coke,HOOK_START,,20260720133215360
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133215360,Medium Coke,HOOK_END,,20260720133215732
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133218357,Take Out Total,HOOK_START,,20260720133218357
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133218357,Take Out Total,HOOK_END,,20260720133218703
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133221484,Store,HOOK_START,,20260720133221484
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133221484,Store,HOOK_END,,20260720133221993
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133224424,Recall,HOOK_START,,20260720133224424
POS0012 - NCRXR7PR7CS,#001B.Simple Transaction 3 items: Store - CS,1,1,20260720133224424,Recall,HOOK_END,,20260720133225411
