Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133122999,First Item,HOOK_START,,20260720133122999
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133122999,First Item,HOOK_END,,20260720133123351
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133127165,Fries,HOOK_START,,20260720133127165
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133127165,Fries,HOOK_END,,20260720133127397
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133129406,Medium Coke,HOOK_START,,20260720133129406
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133129406,Medium Coke,HOOK_END,,20260720133129622
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133131792,Take Out Total,HOOK_START,,20260720133131792
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133131792,Take Out Total,HOOK_END,,20260720133132211
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133133930,Exact Cash Tender,HOOK_START,,20260720133133930
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133133930,Exact Cash Tender,HOOK_END,,20260720133135591
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133158322,First Item,HOOK_START,,20260720133158322
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133158322,First Item,HOOK_END,,20260720133158356
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133200431,New Order,HOOK_START,,20260720133200431
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133200431,New Order,HOOK_END,,20260720133200770
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133202565,Fries,HOOK_START,,20260720133202565
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133202565,Fries,HOOK_END,,20260720133202803
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133204653,Medium Coke,HOOK_START,,20260720133204653
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133204653,Medium Coke,HOOK_END,,20260720133204852
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133206766,Take Out Total,HOOK_START,,20260720133206766
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133206766,Take Out Total,HOOK_END,,20260720133207185
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133208881,Exact Cash Tender,HOOK_START,,20260720133208881
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133208881,Exact Cash Tender,HOOK_END,,20260720133209830
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133232905,First Item,HOOK_START,,20260720133232905
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133232905,First Item,HOOK_END,,20260720133232923
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133234989,New Order,HOOK_START,,20260720133234989
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133234989,New Order,HOOK_END,,20260720133235232
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133237080,Fries,HOOK_START,,20260720133237080
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133237080,Fries,HOOK_END,,20260720133237290
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133239207,Medium Coke,HOOK_START,,20260720133239207
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133239207,Medium Coke,HOOK_END,,20260720133239431
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133241339,Take Out Total,HOOK_START,,20260720133241339
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133241339,Take Out Total,HOOK_END,,20260720133241751
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133243440,Exact Cash Tender,HOOK_START,,20260720133243440
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133243440,Exact Cash Tender,HOOK_END,,20260720133244341
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133306043,First Item,HOOK_START,,20260720133306043
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133306043,First Item,HOOK_END,,20260720133306058
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133308148,New Order,HOOK_START,,20260720133308148
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133308148,New Order,HOOK_END,,20260720133308331
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133310258,Fries,HOOK_START,,20260720133310258
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133310258,Fries,HOOK_END,,20260720133310469
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133312368,Medium Coke,HOOK_START,,20260720133312368
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133312368,Medium Coke,HOOK_END,,20260720133312593
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133314476,Take Out Total,HOOK_START,,20260720133314476
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133314476,Take Out Total,HOOK_END,,20260720133314891
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133316569,Exact Cash Tender,HOOK_START,,20260720133316569
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133316569,Exact Cash Tender,HOOK_END,,20260720133317473
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133340542,First Item,HOOK_START,,20260720133340542
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133340542,First Item,HOOK_END,,20260720133340561
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133342706,New Order,HOOK_START,,20260720133342706
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133342706,New Order,HOOK_END,,20260720133342946
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133344833,Fries,HOOK_START,,20260720133344833
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133344833,Fries,HOOK_END,,20260720133345036
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133347002,Medium Coke,HOOK_START,,20260720133347002
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133347002,Medium Coke,HOOK_END,,20260720133347211
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133349159,Take Out Total,HOOK_START,,20260720133349159
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133349159,Take Out Total,HOOK_END,,20260720133349570
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133351313,Exact Cash Tender,HOOK_START,,20260720133351313
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133351313,Exact Cash Tender,HOOK_END,,20260720133352225
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133414014,First Item,HOOK_START,,20260720133414014
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133414014,First Item,HOOK_END,,20260720133414037
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133416178,New Order,HOOK_START,,20260720133416178
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133416178,New Order,HOOK_END,,20260720133416508
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133418354,Fries,HOOK_START,,20260720133418354
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133418354,Fries,HOOK_END,,20260720133418580
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133420471,Medium Coke,HOOK_START,,20260720133420471
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133420471,Medium Coke,HOOK_END,,20260720133420681
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133422629,Take Out Total,HOOK_START,,20260720133422629
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133422629,Take Out Total,HOOK_END,,20260720133423037
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133424780,Exact Cash Tender,HOOK_START,,20260720133424780
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133424780,Exact Cash Tender,HOOK_END,,20260720133425692
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133449030,First Item,HOOK_START,,20260720133449030
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133449030,First Item,HOOK_END,,20260720133449051
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133451165,New Order,HOOK_START,,20260720133451165
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133451165,New Order,HOOK_END,,20260720133451332
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133453311,Fries,HOOK_START,,20260720133453311
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133453311,Fries,HOOK_END,,20260720133453549
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133455463,Medium Coke,HOOK_START,,20260720133455463
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133455463,Medium Coke,HOOK_END,,20260720133455686
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133457596,Take Out Total,HOOK_START,,20260720133457596
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133457596,Take Out Total,HOOK_END,,20260720133458013
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133459716,Exact Cash Tender,HOOK_START,,20260720133459716
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133459716,Exact Cash Tender,HOOK_END,,20260720133500640
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133523521,First Item,HOOK_START,,20260720133523521
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133523521,First Item,HOOK_END,,20260720133523538
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133525567,New Order,HOOK_START,,20260720133525567
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133525567,New Order,HOOK_END,,20260720133525712
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133527651,Fries,HOOK_START,,20260720133527651
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133527651,Fries,HOOK_END,,20260720133527868
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133529745,Medium Coke,HOOK_START,,20260720133529745
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133529745,Medium Coke,HOOK_END,,20260720133529960
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133531840,Take Out Total,HOOK_START,,20260720133531840
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133531840,Take Out Total,HOOK_END,,20260720133532256
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133533911,Exact Cash Tender,HOOK_START,,20260720133533911
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133533911,Exact Cash Tender,HOOK_END,,20260720133534821
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133557638,First Item,HOOK_START,,20260720133557638
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133557638,First Item,HOOK_END,,20260720133557653
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133559728,New Order,HOOK_START,,20260720133559728
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133559728,New Order,HOOK_END,,20260720133600091
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133601805,Fries,HOOK_START,,20260720133601805
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133601805,Fries,HOOK_END,,20260720133602034
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133603900,Medium Coke,HOOK_START,,20260720133603900
POS0013 - NCRXR7W10OT,#001C.Simple Transaction 3 items: Store - OT,1,1,20260720133603900,Medium Coke,HOOK_END,,20260720133604109
