Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260713202438956,First Item,HOOK_START,,20260713202438956
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260713202438956,First Item,HOOK_END,,20260713202439273
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260713202442186,Fries,HOOK_START,,20260713202442186
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260713202442186,Fries,HOOK_END,,20260713202442495
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260713202444087,Coke,HOOK_START,,20260713202444087
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260713202444087,Coke,HOOK_END,,20260713202444383
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260713202446052,Take Out Total,HOOK_START,,20260713202446052
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260713202446052,Take Out Total,HOOK_END,,20260713202446751
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260713202449579,Store,HOOK_START,,20260713202449579
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260713202449579,Store,HOOK_END,,20260713202449991
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260713202453036,Recall,HOOK_START,,20260713202453036
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260713202453036,Recall,HOOK_END,,20260713202453322
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260713202459699,ImageOrder1,HOOK_START,,20260713202459699
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260713202459699,ImageOrder1,HOOK_END,,20260713202500399
POS0013 - NCRXR7PR7,#001C.Simple Transaction 3 items: Store,1,1,20260713202504861,Exact Cash Tender,HOOK_START,,20260713202504861
