Hardware,Scenario,Group,Execution,ScenarioStartTime,Action,Type,Event,Time
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131654921,First,HOOK_START,,20260615131654921
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131654921,First,HOOK_END,,20260615131655244
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131657080,Fries,HOOK_START,,20260615131657080
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131657080,Fries,HOOK_END,,20260615131657303
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131659383,Medium Coke,HOOK_START,,20260615131659383
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131659383,Medium Coke,HOOK_END,,20260615131659602
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131701684,Take Out Total,HOOK_START,,20260615131701684
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131701684,Take Out Total,HOOK_END,,20260615131702095
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131703987,Exact Cash,HOOK_START,,20260615131703987
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131703987,Exact Cash,HOOK_END,,20260615131705096
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131727606,First,HOOK_START,,20260615131727606
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131727606,First,HOOK_END,,20260615131727730
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131729907,Fries,HOOK_START,,20260615131729907
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131729907,Fries,HOOK_END,,20260615131730126
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131732210,Medium Coke,HOOK_START,,20260615131732210
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131732210,Medium Coke,HOOK_END,,20260615131732426
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131734513,Take Out Total,HOOK_START,,20260615131734513
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131734513,Take Out Total,HOOK_END,,20260615131734894
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131736819,Exact Cash,HOOK_START,,20260615131736819
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131736819,Exact Cash,HOOK_END,,20260615131737664
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131759437,First,HOOK_START,,20260615131759437
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131759437,First,HOOK_END,,20260615131759554
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131801736,Fries,HOOK_START,,20260615131801736
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131801736,Fries,HOOK_END,,20260615131801955
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131804039,Medium Coke,HOOK_START,,20260615131804039
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131804039,Medium Coke,HOOK_END,,20260615131804268
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131806339,Take Out Total,HOOK_START,,20260615131806339
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131806339,Take Out Total,HOOK_END,,20260615131806722
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131808645,Exact Cash,HOOK_START,,20260615131808645
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131808645,Exact Cash,HOOK_END,,20260615131809457
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131831256,First,HOOK_START,,20260615131831256
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131831256,First,HOOK_END,,20260615131831398
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131833558,Fries,HOOK_START,,20260615131833558
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131833558,Fries,HOOK_END,,20260615131833775
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131835862,Medium Coke,HOOK_START,,20260615131835862
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131835862,Medium Coke,HOOK_END,,20260615131836074
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131838165,Take Out Total,HOOK_START,,20260615131838165
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131838165,Take Out Total,HOOK_END,,20260615131838545
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131840467,Exact Cash,HOOK_START,,20260615131840467
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131840467,Exact Cash,HOOK_END,,20260615131841300
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131903084,First,HOOK_START,,20260615131903084
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131903084,First,HOOK_END,,20260615131903202
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131905384,Fries,HOOK_START,,20260615131905384
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131905384,Fries,HOOK_END,,20260615131905616
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131907687,Medium Coke,HOOK_START,,20260615131907687
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131907687,Medium Coke,HOOK_END,,20260615131907896
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131909989,Take Out Total,HOOK_START,,20260615131909989
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131909989,Take Out Total,HOOK_END,,20260615131910354
POS0001 - JS970WS,#001A.Simple Transaction 3 items: Take Out Total,1,1,20260615131912292,Exact Cash,HOOK_START,,20260615131912292
